1 160 1
1 1186 1
1 1961 1
1 4171 1
1 4967 1
1 5893 1
1 6198 1
1 6849 1
1 7428 1
1 8941 1
2 115 1
2 1443 1
2 1660 1
2 2081 1
2 3885 1
2 5894 1
2 6352 1
2 6430 1
2 7437 1
2 7939 1
2 8149 1
2 8353 1
2 8604 1
3 344 1
3 2457 1
3 3145 1
3 4618 1
3 5063 1
3 5810 1
3 5925 1
3 6331 1
3 6722 1
3 7755 1
3 7926 1
3 8254 1
3 9102 1
3 9126 1
4 1425 1
4 1779 1
4 2948 1
4 3095 1
4 3099 2
4 3295 1
4 4411 1
4 5196 1
4 6049 1
4 6084 1
4 8564 1
5 966 1
5 1743 1
5 2240 1
5 2594 3
5 2994 1
5 4149 1
5 6352 1
5 6406 1
5 6430 1
5 6432 1
5 7052 1
5 7438 1
5 7444 1
5 7939 1
5 7968 1
5 8369 1
5 8758 1
5 8811 1
6 61 1
6 102 1
6 813 1
6 1693 2
6 1720 1
6 2174 2
6 2292 1
6 2425 1
6 2534 1
6 3083 1
6 3777 2
6 3863 2
6 4347 1
6 4471 1
6 4530 1
6 4745 1
6 4748 1
6 4750 1
6 4752 1
6 4753 1
6 5010 1
6 5194 1
6 5264 2
6 5306 1
6 5468 1
6 5666 1
6 5792 2
6 5810 1
6 5947 1
6 6358 1
6 7017 3
6 7019 2
6 7054 1
6 7466 1
6 8048 1
6 8339 2
6 8371 1
6 8556 1
6 8945 2
6 9149 1
6 9306 1
7 242 1
7 935 3
7 1391 1
7 1400 1
7 1971 1
7 2091 1
7 2146 1
7 2302 1
7 2952 1
7 3038 1
7 3216 1
7 3680 1
7 3791 1
7 3792 3
7 4471 1
7 4911 1
7 5038 1
7 5164 1
7 5458 1
7 5947 1
7 6084 1
7 6275 1
7 6321 1
7 6489 1
7 6669 1
7 6884 1
7 6928 1
7 8154 1
7 8173 1
7 8180 1
7 8453 1
7 8482 1
7 8556 1
7 8758 4
7 9097 1
7 9104 1
8 377 1
8 455 1
8 842 2
8 1237 1
8 1239 1
8 1421 2
8 1423 1
8 1740 1
8 1830 1
8 2369 1
8 2431 2
8 2444 1
8 2741 1
8 2763 1
8 3346 1
8 3700 1
8 3710 2
8 3885 1
8 4325 1
8 4400 1
8 4419 1
8 4452 1
8 4644 1
8 4910 1
8 5242 4
8 5269 1
8 5308 1
8 5309 2
8 5310 1
8 5325 1
8 5493 1
8 5530 1
8 5692 1
8 5756 1
8 5830 1
8 5983 1
8 6089 1
8 6094 1
8 6196 1
8 6494 1
8 6650 1
8 6676 1
8 6884 1
8 6968 1
8 7025 1
8 7205 1
8 7331 1
8 7603 1
8 7766 1
8 8072 1
8 8107 1
8 8808 1
8 9149 2
8 9197 1
8 9246 3
8 9322 1
8 9449 1
9 1184 1
9 2358 1
9 4314 1
9 5042 1
9 6196 1
9 6198 1
9 6494 1
9 6824 1
9 7534 1
9 7779 1
9 8629 1
10 3594 1
10 4940 1
10 6710 1
10 7017 1
11 299 1
11 383 1
11 1140 2
11 1186 2
11 2472 1
11 3057 1
11 3293 1
11 3296 1
11 3637 1
11 4589 1
11 6204 1
11 6756 1
11 7371 1
11 7711 1
11 7828 1
11 8104 1
12 19 1
12 56 1
12 59 1
12 69 1
12 130 1
12 234 1
12 356 1
12 569 1
12 611 1
12 660 1
12 732 1
12 759 1
12 789 2
12 1108 1
12 1636 1
12 1641 1
12 1759 1
12 2011 1
12 2094 1
12 2273 1
12 2787 1
12 2862 1
12 2954 1
12 3032 1
12 3169 1
12 3376 2
12 3383 1
12 3700 1
12 3723 1
12 3941 2
12 3968 1
12 4040 1
12 4090 1
12 4094 1
12 4095 1
12 4097 1
12 4137 1
12 4160 2
12 4225 1
12 4261 1
12 4280 1
12 4765 1
12 4810 1
12 4821 1
12 4824 1
12 4879 1
12 4907 1
12 5146 1
12 5196 1
12 5230 1
12 5249 1
12 5258 2
12 5260 1
12 5561 1
12 5640 1
12 5678 1
12 5803 1
12 5837 1
12 5862 1
12 5865 1
12 5966 2
12 5976 2
12 5977 4
12 6031 1
12 6037 3
12 6043 1
12 6198 1
12 6265 1
12 6352 1
12 6430 12
12 6432 1
12 6599 1
12 6606 1
12 6612 1
12 6651 1
12 6743 1
12 6836 1
12 6928 1
12 7057 1
12 7105 1
12 7233 1
12 7342 4
12 7343 1
12 7376 1
12 7395 1
12 7438 1
12 7553 1
12 7598 1
12 7689 1
12 7708 2
12 7709 1
12 7883 2
12 7893 1
12 8057 2
12 8067 1
12 8124 1
12 8272 1
12 8296 3
12 8399 2
12 8400 1
12 8434 1
12 8556 1
12 8564 1
12 8627 1
12 8674 1
12 8682 1
12 8694 1
12 8941 8
12 8943 1
12 9086 1
12 9089 1
13 1140 1
13 2123 1
13 2165 1
13 3612 1
13 6755 1
13 8556 1
13 9149 1
14 1779 1
14 2155 1
14 2238 1
14 2863 1
14 3145 1
14 3384 2
14 5393 1
14 6263 1
14 6494 1
14 7371 2
14 8564 1
14 9003 1
14 9104 1
14 9576 2
15 117 1
15 299 1
15 525 1
15 862 1
15 974 1
15 1062 1
15 1195 1
15 1351 1
15 1511 1
15 1519 1
15 1684 1
15 1755 1
15 1822 1
15 2155 1
15 2200 1
15 2302 2
15 2356 2
15 2651 1
15 2870 1
15 3174 1
15 3363 1
15 3505 1
15 3637 1
15 3800 2
15 3955 1
15 4221 1
15 4225 2
15 4509 1
15 5138 1
15 5294 1
15 5853 1
15 5862 1
15 5925 1
15 6179 2
15 6228 1
15 6243 1
15 6257 1
15 6271 1
15 6274 1
15 6494 1
15 6553 1
15 6693 1
15 6738 1
15 7492 1
15 7883 1
15 7904 1
15 8360 1
15 8417 1
15 8609 1
15 8941 1
15 9387 1
15 9427 1
15 9465 1
16 1088 1
16 1140 2
16 3384 1
16 3791 1
16 4171 1
16 4534 1
16 5969 1
16 6274 1
16 8660 1
16 9330 1
16 9410 1
17 1021 1
17 1186 3
17 1961 1
17 2629 1
17 2782 1
17 2842 1
17 2944 1
17 3174 1
17 3679 1
17 3829 1
17 4094 1
17 4630 1
17 5266 1
17 5633 1
17 6738 1
17 7100 1
17 7879 1
17 7883 1
17 8180 1
17 8504 1
17 8537 1
17 8758 2
17 8819 1
17 9149 1
18 1045 1
18 1562 1
